Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.254053115844727,23.36675421473569,22.983569332048635,23.006110125055717,38409100
2010-01-05,23.261560440063477,23.366749352469416,23.021131096973196,23.178913749046146,49749600
2010-01-06,23.11880874633789,23.351724516827602,22.930973123958946,23.20145544569562,58182400
2010-01-07,22.878376007080078,23.06621160177508,22.68302681662865,23.01361643148012,50559700
2010-01-08,23.036165237426758,23.201460102390115,22.72060127117136,22.750655664658712,51197400
2010-01-11,22.74314308166504,23.111300819887514,22.630441967200596,23.073732826351083,68754700
2010-01-12,22.592870712280273,22.840813701539318,22.472656016462082,22.65297806018937,65912100
2010-01-13,22.80324363708496,22.930971910868468,22.54778708951795,22.735622701960047,51863500
2010-01-14,23.261560440063477,23.366749352469416,22.73562161032147,22.773188157777355,63228100
2010-01-15,23.18643569946289,23.471945288986657,23.0737331503435,23.35173057412692,79913200
2010-01-19,23.36676025390625,23.471947782314043,23.051196235610274,23.103789999814172,46575700
2010-01-20,22.983570098876953,23.246540293777805,22.773193656341817,23.148864953893813,54849500
2010-01-21,22.54779052734375,23.08124306013941,22.540276929731842,22.99859635255283,73086700
2010-01-22,21.75887680053711,22.690542705481306,21.66871650849219,22.540273641310435,102004600
2010-01-25,22.029367446899414,22.284824076207727,21.864072570965046,21.9692600890076,63373000
2010-01-26,22.164608001708984,22.42757821376746,21.856557632263225,21.93920578170021,66639900
2010-01-27,22.292329788208008,22.405030865248246,21.80395749898568,22.051900441702983,63949500
2010-01-28,21.90914535522461,22.442599230861266,21.70628255323298,22.420058441838204,117513700
2010-01-29,21.17283821105957,22.4801743800517,20.782139650283295,22.46514718162049,193888500
2010-02-01,21.345638275146484,21.39823201584038,20.97748065721726,21.330611082641955,85931100
2010-02-02,21.38321304321289,21.413267439775094,21.14278360300526,21.315593517092935,54413700
2010-02-03,21.51093864440918,21.631154782395402,21.12775516816633,21.23294267669791,61397900
2010-02-04,20.917375564575195,21.41326150585448,20.894834773399918,21.32309977422547,77850000
2010-02-05,21.05262565612793,21.247974956618048,20.714520821996448,21.037598456150384,80960100
2010-02-08,20.827219009399414,21.097702838441116,20.714517891656193,21.045109079032443,52820600
2010-02-09,21.045106887817383,21.293049894265646,20.84975763530173,21.015052495243136,59195800
2010-02-10,21.030075073242188,21.217910686364828,20.917373991983002,21.06012945921637,48591300
2010-02-11,21.127758026123047,21.33813307164369,20.812194024769568,20.9850025073251,65993700
2010-02-12,20.984994888305664,21.082668776396012,20.72202474380888,20.894833163622884,81117200
2010-02-16,21.40016746520996,21.415264930457376,21.15106504772174,21.23409822703546,51935600
2010-02-17,21.58133316040039,21.626624117274748,21.407716625904065,21.536042203526037,45882900
2010-02-18,21.868181228637695,21.91347363237242,21.520948105314204,21.581336537186715,42856500
2010-02-19,21.71721076965332,21.830438898925404,21.656822338056624,21.73230823749594,44451800
2010-02-22,21.687015533447266,21.84553606405056,21.626627102687383,21.770050165657263,36707100
2010-02-23,21.385068893432617,21.762496866447503,21.203903639158284,21.64926876249773,52266200
2010-02-24,21.611530303955078,21.732308608986827,21.422816272017815,21.52849710894887,43165900
2010-02-25,21.588882446289062,21.62662467135573,21.15106601255714,21.339780017437686,48735300
2010-02-26,21.641721725463867,21.777596036756034,21.52094487982051,21.626624259815056,40370600
2010-03-01,21.905920028686523,21.928564785746126,21.536040785720573,21.717206041064703,43805400
2010-03-02,21.483203887939453,22.117283126325358,21.317136064466478,21.951215302852383,93123900
2010-03-03,21.483203887939453,21.59643345461631,21.40017069608984,21.520947556756322,48442100
2010-03-04,21.611530303955078,21.626627772055773,21.339783077011603,21.483204704646788,42890600
2010-03-05,21.58133316040039,21.649270315598702,21.45300758277842,21.6341728500494,56001800
2010-03-08,21.611530303955078,21.837988006144077,21.513399640848174,21.52849710894887,39414500
2010-03-09,21.73986053466797,21.973867020759464,21.55114646252754,21.55869519818605,50271600
2010-03-10,21.868181228637695,21.97386206424493,21.739855630936887,21.785148034671607,44891400
2010-03-11,22.026697158813477,22.03424589119166,21.777594749427433,21.807788239166673,35349700
2010-03-12,22.094633102416992,22.17766627449017,21.92101658653178,22.132375322470857,31700200
2010-03-15,22.109739303588867,22.170127743403157,21.89837904435186,22.026704658928974,37512000
2010-03-16,22.17012596130371,22.26070789385692,22.041800357041783,22.207868193238575,36723500
2010-03-17,22.36638832092285,22.547555073886162,22.192771742421435,22.268257649527158,50385700
2010-03-18,22.351285934448242,22.434319112852748,22.268251316270216,22.366381959756822,43845200
2010-03-19,22.33618927001953,22.57019422808603,22.155024001860927,22.464514848270237,81332100
2010-03-22,22.343740463256836,22.419226359911924,22.185219936303774,22.268254566601744,37718200
2010-03-23,22.555097579956055,22.57019504612653,22.200315763591675,22.336190079578685,42026600
2010-03-24,22.381479263305664,22.53245103349001,22.343737040646328,22.43431895093813,33987700
2010-03-25,22.653228759765625,23.075947717132728,22.494708250894487,22.517354449239953,73168700
2010-03-26,22.389028549194336,22.79665147490341,22.3361888602558,22.713616855272257,55595500
2010-03-29,22.33618927001953,22.509805805366494,22.30599433877298,22.426771184212047,33336000
2010-03-30,22.472064971923828,22.54000213165977,22.268253492716003,22.366384145793667,34954800
2010-03-31,22.109739303588867,22.43432626773195,22.019155923980442,22.373937827917658,63760000
2010-04-01,22.01160430908203,22.29845044050008,21.603982753611362,22.155027374791054,74768100
2010-04-05,22.094633102416992,22.21540993431744,21.913467854566328,21.98895229467405,34331200
2010-04-06,22.132383346557617,22.328646129494185,21.875732125777024,22.004057736167322,47366800
2010-04-07,22.155025482177734,22.31354456249308,21.996504962088725,22.011602428720757,58318800
2010-04-08,22.58530044555664,22.63059142020324,22.117288908294704,22.13238637976828,63713800
2010-04-09,22.90233039855957,22.955170086450142,22.570193366395756,22.60793702901296,54752500
2010-04-12,22.887231826782227,23.0155573939284,22.8041972128131,22.83439214144676,37068800
2010-04-13,22.985363006591797,23.023105226135122,22.743807906284996,22.758905370011682,41374600
2010-04-14,23.264663696289062,23.400538018372433,23.14388684105355,23.24201893579096,68941200
2010-04-15,23.30240249633789,23.362790911342582,23.181624226555126,23.264658837101596,52745400
2010-04-16,23.15142822265625,23.385433125394226,23.09858854524186,23.242011555204655,88703100
2010-04-19,23.430727005004883,23.589246047351896,23.219366842102215,23.226915573610167,64970300
2010-04-20,23.67228126525879,23.732669679107985,23.498663315640663,23.566600461192678,52199500
2010-04-21,23.64963150024414,23.777957040274647,23.574145634383882,23.64963150024414,55343100
2010-04-22,23.694929122924805,23.8006099408275,23.325049859699234,23.43073067760193,84847600
2010-04-23,23.370338439941406,23.83834974079442,23.136333509401595,23.491116710946535,126766600
2010-04-26,23.48357582092285,23.611901426930174,23.294861779134077,23.40054118180815,63649300
2010-04-27,23.28731346130371,23.589255645612774,23.21182755528297,23.362799367324453,68730900
2010-04-28,23.332599639892578,23.400536797389467,23.113692141115404,23.34014837292263,64557900
2010-04-29,23.400531768798828,23.725120020471703,23.15142939143158,23.347692088716883,52665200
2010-04-30,23.053308486938477,23.460930076493025,23.038211017754332,23.45338134190095,63214800
