Date,Stock,Action,Shares,Price,Value,Cost
2013-04-15,AAPL,BUY,1465,8.627713203430176,12639.599843025208,12.639599843025207
2013-04-16,AAPL,SELL,74662,8.750094413757324,653299.5491199493,653.2995491199493
2013-04-17,AAPL,BUY,74627,8.593717575073242,641323.3614749908,641.3233614749909
2013-04-18,AAPL,SELL,75797,8.580123901367188,650347.6513519287,650.3476513519287
2013-04-19,AAPL,BUY,672,8.750094413757324,5880.063446044922,5.880063446044922
2013-04-22,AAPL,BUY,74020,8.784088134765625,650198.2037353516,650.1982037353516
2013-04-23,AAPL,SELL,623,8.940460205078125,5569.906707763672,5.569906707763672
2013-04-24,AAPL,BUY,3,9.001648902893066,27.0049467086792,0.0270049467086792
2013-04-25,AAPL,SELL,482,9.151225090026855,4410.890493392944,4.4108904933929445
2013-04-26,AAPL,BUY,281,9.158024787902832,2573.404965400696,2.573404965400696
2013-04-29,AAPL,SELL,538,9.314862251281738,5011.395891189575,5.011395891189576
2013-04-30,AAPL,SELL,265,9.45124053955078,2504.5787429809566,2.5045787429809567
2013-05-01,AAPL,BUY,370,9.41032886505127,3481.8216800689697,3.4818216800689696
2013-05-02,AAPL,SELL,76,9.430787086486816,716.739818572998,0.7167398185729981
2013-05-03,AAPL,BUY,89,9.423969268798828,838.7332649230957,0.8387332649230957
2013-05-06,AAPL,SELL,70725,9.430787086486816,666992.4166917801,666.9924166917801
2013-05-07,AAPL,BUY,70233,9.519433975219728,668578.4063816072,668.5784063816072
2013-05-08,AAPL,SELL,99,9.47851848602295,938.373330116272,0.938373330116272
2013-05-09,AAPL,BUY,1621,9.014822006225586,14613.026472091675,14.613026472091676
2013-05-10,AAPL,SELL,71643,9.076194763183594,650245.8214187622,650.2458214187623
2013-05-13,AAPL,BUY,71651,8.871623039245605,635660.6623849869,635.6606623849868
2013-05-14,AAPL,SELL,72907,8.953453063964844,652769.4025344849,652.7694025344849
2013-05-15,AAPL,BUY,73103,8.919357299804688,652031.7766876221,652.031776687622
2013-05-16,AAPL,SELL,73921,8.769336700439453,648238.1382331848,648.2381382331848
2013-05-17,AAPL,BUY,650,8.857982635498047,5757.6887130737305,5.757688713073731
2013-05-20,AAPL,SELL,25,8.817070007324219,220.42675018310547,0.22042675018310548
2013-05-21,AAPL,BUY,126,8.864802360534668,1116.9650974273682,1.1169650974273682
2013-05-22,AAPL,SELL,340,8.755699157714844,2976.937713623047,2.976937713623047
2013-05-23,AAPL,SELL,198,8.796612739562988,1741.7293224334717,1.7417293224334718
2013-05-24,AAPL,BUY,74700,8.632953643798828,644881.6371917725,644.8816371917725
2013-05-28,AAPL,SELL,76365,8.469292640686035,646757.5325059891,646.757532505989
2013-05-29,AAPL,BUY,244,8.435203552246094,2058.189666748047,2.058189666748047
2013-05-30,AAPL,SELL,78,8.394287109375,654.75439453125,0.6547543945312501
2013-05-31,AAPL,SELL,536,8.319275856018066,4459.131858825684,4.459131858825684
2013-06-03,AAPL,BUY,177,8.380651473999023,1483.3753108978271,1.4833753108978271
